dataset,model,n,hits,acc,time
CIFAR100,efficientnet_b0,10000,5960,0.596,272.44174671173096
CIFAR100,resnet18,10000,5312,0.5312,201.1150243282318
CIFAR100,resnet34,10000,5595,0.5595,468.2475242614746
CIFAR100,resnet50,10000,5524,0.5524,688.9509088993073
CIFAR100,resnet152,10000,6774,0.6774,1615.1514446735382
CIFAR100,vit_tiny_patch16_224,10000,3607,0.3607,353.8482406139374
CIFAR100,vit_base_patch16_224,10000,6491,0.6491,2988.4448375701904
CIFAR100,deit_tiny_patch16_224,10000,5753,0.5753,346.47159242630005
CIFAR100,deit_base_patch16_224,10000,6818,0.6818,2984.527552843094
CIFAR10,resnet18,10000,7699,0.7699,276.5168912410736
CIFAR10,resnet34,10000,8179,0.8179,456.77462458610535
CIFAR10,resnet50,10000,8069,0.8069,686.2173140048981
CIFAR10,resnet152,10000,8985,0.8985,1666.1198167800903
CIFAR10,vit_tiny_patch16_224,10000,6371,0.6371,378.18338680267334
CIFAR10,vit_base_patch16_224,10000,8763,0.8763,2786.6369285583496
CIFAR10,deit_tiny_patch16_224,10000,8072,0.8072,325.14322543144226
CIFAR10,deit_base_patch16_224,10000,8989,0.8989,2540.1573979854584
